Frame_Number,Width_Pixels,Height_Pixels,Area_Pixels,Depth_mm
1761289376906,79,358,28282,
1761289377614,73,352,25696,
1761289378282,75,353,26475,
1761289378962,74,351,25974,
1761289379618,74,348,25752,
1761289380241,73,354,25842,
1761289380904,80,359,28720,
1761289381618,87,360,31320,
1761289382281,93,360,33480,
1761289382943,94,359,33746,
1761289383682,90,352,31680,
1761289384357,91,334,30394,
1761289385066,96,338,32448,
1761289385717,111,343,38073,
1761289386399,124,343,42532,
1761289387063,115,347,39905,
1761289387748,116,344,39904,
1761289388451,118,342,40356,
1761289389155,116,346,40136,
1761289389859,109,351,38259,
1761289390482,111,352,39072,
1761289391108,115,353,40595,
1761289391797,100,359,35900,
1761289392473,96,359,34464,
1761289393139,99,354,35046,
1761289393782,87,356,30972,
1761289394393,85,359,30515,
1761289395096,88,361,31768,
1761289395770,87,361,31407,
1761289396460,84,358,30072,
1761289397153,83,358,29714,
1761289397848,84,366,30744,
1761289404746,117,357,41769,
1761289405443,111,356,39516,
1761289406091,82,364,29848,
1761289406791,78,366,28548,
1761289407476,78,359,28002,
1761289408197,79,362,28598,
1761289408859,80,369,29520,
1761289409565,90,369,33210,
1761289410258,84,366,30744,
1761289410969,86,363,31218,
1761289411616,87,360,31320,
1761289412344,90,355,31950,
1761289413052,90,360,32400,
1761289413750,96,361,34656,
1761289414400,105,369,38745,
1761289415052,111,371,41181,
1761289415734,102,367,37434,
1761289416357,101,363,36663,
1761289417023,104,365,37960,
1761289417716,116,367,42572,
1761289418381,117,367,42939,
1761289419000,106,366,38796,
1761289419637,104,365,37960,
1761289420377,102,360,36720,
1761289421004,109,361,39349,
1761289421659,116,360,41760,
1761289422372,103,360,37080,
1761289423059,101,364,36764,
1761289423771,99,358,35442,
1761289424417,99,356,35244,
1761289425129,94,358,33652,
1761289425825,90,360,32400,
1761289426461,89,362,32218,
1761289427138,81,360,29160,
1761289427857,80,360,28800,
1761289428532,81,361,29241,
1761289429181,80,363,29040,
1761289429879,85,367,31195,
1761289430545,80,365,29200,
1761289431210,80,359,28720,
1761289431931,82,346,28372,
1761289432614,79,358,28282,
1761289433277,83,361,29963,
1761289433941,74,360,26640,
1761289434660,73,346,25258,
1761289435324,77,351,27027,
1761289436019,87,357,31059,
1761289436666,103,359,36977,
1761289437348,106,357,37842,
1761289438051,102,351,35802,
1761289438710,109,352,38368,
1761289439389,121,354,42834,
1761289440046,116,351,40716,
1761289440706,100,352,35200,
1761289441351,113,351,39663,
1761289442027,115,347,39905,
1761289442682,115,349,40135,
1761289443386,109,349,38041,
1761289444021,97,346,33562,
1761289444698,100,346,34600,
1761289445367,101,339,34239,
1761289446056,90,343,30870,
1761289446707,93,352,32736,
1761289447331,96,350,33600,
1761289447979,102,347,35394,
1761289448661,123,365,44895,
1761289558502,108,359,38772,
1761289559114,102,355,36210,
1761289559786,81,359,29079,
1761289560480,75,368,27600,
1761289561144,82,367,30094,
1761289561803,81,362,29322,
1761289562444,78,359,28002,
1761289563143,79,359,28361,
1761289563819,84,363,30492,
1761289564491,91,365,33215,
1761289565145,100,368,36800,
1761289565846,102,367,37434,
1761289566553,97,364,35308,
1761289567222,102,363,37026,
1761289567885,104,363,37752,
1761289568588,108,364,39312,
1761289569278,108,364,39312,
1761289569944,105,361,37905,
1761289570620,103,364,37492,
1761289571299,101,364,36764,
1761289571939,103,359,36977,
1761289572588,106,359,38054,
1761289573315,105,358,37590,
1761289573989,100,356,35600,
1761289574640,97,359,34823,
1761289575332,97,360,34920,
1761289576015,92,348,32016,
1761289576699,94,344,32336,
1761289577360,99,343,33957,
1761289578024,92,351,32292,
